date,year,month,day,maxHs,maxHs_usgs
1987-01-01,1987,1,1,5.07,2.34
1987-01-02,1987,1,2,5.73,1.96
1987-01-03,1987,1,3,7.25,2.66
1987-01-04,1987,1,4,7.34,2.87
1987-01-05,1987,1,5,5.39,2.39
1987-01-06,1987,1,6,6.01,2.14
1987-01-07,1987,1,7,2.18,1.71
1987-01-08,1987,1,8,2.36,0.96
1987-01-09,1987,1,9,2.13,1.46
1987-01-10,1987,1,10,2.33,2.16
1987-01-11,1987,1,11,2.51,2.03
1987-01-12,1987,1,12,2.28,2.07
1987-01-13,1987,1,13,4.37,1.91
1987-01-14,1987,1,14,4.37,2.87
1987-01-15,1987,1,15,4.65,2.8
1987-01-16,1987,1,16,4.79,1.95
1987-01-17,1987,1,17,2.81,1.09
1987-01-18,1987,1,18,2.44,1.2
1987-01-19,1987,1,19,2.86,1.22
1987-01-20,1987,1,20,2.7,1.59
1987-01-21,1987,1,21,1.88,2.6
1987-01-22,1987,1,22,1.24,3.2
1987-01-23,1987,1,23,2.3,4.68
1987-01-24,1987,1,24,2.88,4.67
1987-01-25,1987,1,25,3.77,3.68
1987-01-26,1987,1,26,4.96,2.35
1987-01-27,1987,1,27,3.39,2.26
1987-01-28,1987,1,28,2.21,2.34
1987-01-29,1987,1,29,3.39,1.59
1987-01-30,1987,1,30,2.69,2.75
1987-01-31,1987,1,31,5.54,2.77
1987-02-01,1987,2,1,3.74,2.83
1987-02-02,1987,2,2,3.3,2.91
1987-02-03,1987,2,3,2.35,2.51
1987-02-04,1987,2,4,2.57,2.76
1987-02-05,1987,2,5,4.11,3.22
1987-02-06,1987,2,6,2.84,2.96
1987-02-07,1987,2,7,2.37,2.47
1987-02-08,1987,2,8,2.3,4.31
1987-02-09,1987,2,9,2.04,6.92
1987-02-10,1987,2,10,2.42,6.09
1987-02-11,1987,2,11,2.32,3.86
1987-02-12,1987,2,12,2.5,3.62
1987-02-13,1987,2,13,2.73,3.25
1987-02-14,1987,2,14,2.91,3.08
1987-02-15,1987,2,15,3.52,2.13
