Dataset,Year,Month,Mean_Hs,Mean_Tp,Mean_Ta,Mean_SST,Records
Begg,1982,10,1.48,11.1,7.22,,39
Begg,1982,11,1.68,11.47,7.98,,127
Begg,1982,12,2.32,11.89,8.39,,206
Begg,1983,1,2.43,12.34,9,,221
Begg,1983,2,2.93,13.4,9.34,,201
Begg,1983,3,2.84,12.41,8.21,,204
Begg,1983,4,1.86,10.53,6.87,,210
Begg,1983,5,1.99,9.16,6.25,,183
Begg,1983,6,1.99,9.68,6.96,,223
Begg,1983,7,1.83,8.52,6.44,,188
Begg,1983,8,1.38,10.01,6.15,,235
Begg,1983,9,1.34,9.33,6.41,,224
Begg,1983,10,1.53,10.49,7.35,,227
Begg,1983,11,2.36,11.97,8.23,,191
Begg,1983,12,2.21,10.8,7.43,,201
Begg,1984,1,1.76,11.45,7.63,,238
Begg,1984,2,2.28,12.07,7.93,,189
Begg,1984,3,2.5,12.23,8.33,,215
Begg,1984,4,2.63,10.12,7.3,,177
Begg,1984,5,2.26,9.16,6.79,,212
Begg,1984,6,1.85,8.72,6.14,,210
Begg,1984,7,1.5,9.23,6.42,,215
Begg,1984,8,1.48,10.48,6.66,,235
Begg,1984,9,1.37,9.2,6.66,,234
Begg,1984,10,1.85,9.34,6.52,,239
Begg,1984,11,2.1,11.67,8.09,,239
Begg,1984,12,1.87,10.89,7.49,,175
Begg,1985,1,1.79,12.79,8.95,,227
Begg,1985,2,1.54,10.18,6.88,,201
Begg,1985,3,1.99,11.21,7.58,,229
Begg,1985,4,1.62,10.13,7.39,,134
Begg,1985,5,1.45,14.38,6.52,,12
Begg,1985,6,1.25,10.96,7.04,,127
Begg,1985,7,1.4,9.13,6.29,,184
Begg,1985,8,1.28,9.51,6.33,,136
Begg,1985,9,1.3,11.2,6.07,,85
Begg,1985,10,1.6,10.32,6.64,,142
Begg,1985,11,1.71,9.89,6.72,,238
Begg,1986,8,1.8,9.19,6.26,,29
Begg,1986,9,1.49,8.19,6.1,,93
Begg,1986,10,1.71,11.52,8.01,,93
Begg,1986,11,1.9,10.8,7.68,,114
Begg,1986,12,2.21,12.75,9.23,,110
Begg,1987,1,2.61,12.59,8.45,,137
Begg,1987,2,2.35,11.65,8.01,,128
Begg,1987,3,2.36,11.1,7.87,,127
Begg,1987,4,1.96,11.39,7.81,,158
Begg,1987,5,1.35,11.46,7.31,,117
Begg,1987,6,1.87,9.54,6.97,,87
Begg,1987,7,1.53,8.94,6.24,,164
Begg,1987,12,2.07,12.01,7.88,,78
Begg,1988,1,2.36,12.7,9.1,,125
Begg,1988,2,1.8,12.87,8.5,,220
Begg,1988,3,2.06,11.81,7.69,,219
Begg,1988,4,1.78,11.16,7.26,,209
Begg,1988,5,2.14,9.5,6.37,,214
Begg,1988,6,1.79,9.39,6.95,,225
Begg,1988,7,1.28,9.9,6.58,,219
Begg,1988,8,1.27,9.58,6.29,,180
Begg,1988,9,1.37,9.67,6.55,,170
Begg,1988,10,1.3,9.82,6.95,,149
Begg,1988,11,2.19,11.59,7.59,,147
Begg,1988,12,1.81,11.58,7.86,,139
Begg,1989,1,1.97,11.4,7.74,,170
